roi,vol_mm_mean,vol_mm,t1map
cZI,73.9123190666667,73.9±11.0,1444.7±61.0
rZI,138.1013942,138.1±18.7,1415.0±52.9
ZI,213.591414566667,213.6±26.5,1424.9±54.1
fct,111.42288785,111.4±13.3,1282.2±50.9
fl,42.8726473166667,42.9±6.5,1341.0±45.4
ft,69.59660105,69.6±10.0,1306.0±55.7
hf,45.2220370666667,45.2±5.8,1316.9±59.4
hfields,129.623990216667,129.6±17.6,1319.1±51.3
ml,28.4902722833333,28.5±4.5,1377.2±58.7
RN,295.992296833333,296.0±30.7,1249.8±56.4
STN,131.961792216667,132.0±17.9,1187.5±48.1
