x,y,z
-4.81331666666667,-4.29777666666667,-12.018733333333302
-3.78116333333333,20.421,-16.2538333333333
-3.46867,28.9081666666667,-24.4686
-3.8405400000000003,14.766333333333302,-31.0743333333333
-4.26832333333333,8.32447666666667,-19.8093
-14.9114,20.6533,-22.5876666666667
8.37391666666667,20.1638,-22.9795666666667
-13.293766666666698,21.6133,-34.5774333333333
6.37732,21.4019,-34.1755
-1.6563419999999998,47.4145,-14.9108666666667
-4.48631333333333,3.14441333333333,-23.9563
-6.79134333333333,3.25319666666667,-22.851933333333303
-2.8633,3.9002666666666697,-21.81
-4.13686666666667,25.600566666666698,-13.592566666666698
-19.1826,0.809553,14.160166666666699
11.3051,-0.641985333333333,12.379466666666698
-22.8627,25.184333333333303,6.89269666666667
15.485866666666698,23.648000000000003,5.90531
-5.78944333333333,-31.930066666666697,-1.6588776666666698
-3.8935699999999995,29.446633333333303,-10.366343333333301
-37.3877,0.918320833333333,-29.289366666666698
28.399066666666698,1.64386966666667,-30.539633333333303
-21.4035,4.15093666666667,-24.7296333333333
11.943033333333302,4.10289333333333,-26.3786
-23.4339,-2.18349766666667,-35.346433333333295
16.8147666666667,-1.7955450000000002,-36.4939
-20.0906666666667,35.1162333333333,-11.324966666666699
17.248266666666698,38.7576,-14.827533333333301
-17.189233333333302,74.0014333333333,-23.7934666666667
20.013533333333303,77.8539333333333,-24.546999999999997
-17.525733333333303,-19.4395666666667,-18.2727
5.15147333333333,-18.2130333333333,-18.589766666666698
