x,y,z
-0.913049,1.49985,10.0965
-0.509945,28.489,5.92711
-0.248457,38.7142,-3.14141
0.0185114,26.0515,-11.0845
-0.574707,15.595,2.28725
-11.524,29.0723,-1.64336
11.5094,28.7821,-1.25814
-10.3063,30.6494,-11.9368
9.38254,30.5049,-9.91943
1.54786,53.5125,5.41625
-0.408282,10.5896,-0.787533
-2.66579,10.6632,0.156189
1.41828,10.6897,0.153299
-0.570446,32.7309,6.81636
-15.5154,6.59162,32.9764
15.1624,3.9698,32.0731
-20.1388,34.1172,27.6531
20.0378,31.5405,28.746
-1.27022,-28.403,18.5723
-0.115626,38.2494,10.1902
-32.5527,4.53233,-10.9927
31.6873,5.4565,-9.15672
-17.5899,11.5392,-3.48666
19.9718,14.0441,-0.964024
-20.0376,3.86317,-12.8564
20.1098,5.52951,-11.5656
-13.8454,41.888,7.68715
18.9649,44.105,6.33546
-14.399,78.9641,-1.05697
28.7136,74.6948,-1.81456
-12.4923,-16.112,6.08003
9.7087,-12.7518,5.0274
