x,y,z
-0.679729,1.56518,12.2541
-0.466614,28.6512,8.50018
-0.194741,39.0747,-0.415545
0.270465,26.582,-8.55624
-0.378637,15.8327,4.65883
-11.4105,29.3335,0.811287
11.6378,29.1684,1.4464
-10.0926,31.1392,-9.4525
9.58944,31.0653,-7.21864
1.37938,53.7022,8.39577
-0.134521,10.8935,1.50665
-2.40466,10.9337,2.42733
1.68213,10.9839,2.46989
-0.574037,32.8745,9.45458
-15.5885,6.0816,35.0689
15.1441,3.65632,34.463
-20.3975,33.6998,30.113
19.8184,31.3318,31.6103
-0.868712,-28.5274,20.2735
-0.204236,38.324,12.9208
-32.1368,4.86829,-9.15398
32.1209,6.1251,-6.59385
-17.3071,11.8018,-1.36952
20.2319,14.4703,1.60784
-19.5865,4.31151,-10.8914
20.5609,6.18286,-9.13116
-13.9482,41.9377,10.3202
18.8811,44.3741,9.36339
-14.7304,79.2052,2.13234
28.4588,75.2011,1.78415
-12.0691,-16.0306,7.83636
10.13,-12.5186,7.07937
