x,y,z
-0.760785,1.58357,11.2093
-0.485418,28.6635,7.23779
-0.228197,39.02,-1.75417
0.156346,26.4445,-9.78654
-0.456071,15.7993,3.50478
-11.4337,29.289,-0.379219
11.5485,29.1105,0.112249
-10.1665,31.0068,-10.654
9.4679,30.9361,-8.54533
1.43037,53.7366,6.91787
-0.243689,10.8278,0.394976
-2.50224,10.8778,1.32847
1.57272,10.9252,1.345
-0.574874,32.8992,8.15734
-15.4952,6.31342,34.0541
15.1353,3.85555,33.2763
-20.2315,33.9198,28.909
19.8649,31.5296,30.1723
-0.999475,-28.4691,19.4657
-0.172028,38.3837,11.5728
-32.223,4.73073,-10.0039
31.8598,5.95861,-7.85913
-17.3769,11.7261,-2.37776
20.0733,14.3925,0.339443
-19.7207,4.14822,-11.8133
20.3216,6.00393,-10.3216
-13.8773,41.9896,9.03183
18.8565,44.3935,7.85081
-14.586,79.2236,0.554806
28.4604,75.1774,-0.0306683
-12.1919,-16.0583,7.01134
9.9477,-12.5674,6.08769
