x,y,z
-0.769028,1.54135,10.918
-0.498017,28.5946,6.89541
-0.25355,38.9145,-2.1174
0.118657,26.3166,-10.1282
-0.474896,15.7232,3.18562
-11.4681,29.1849,-0.708561
11.5366,29.0247,-0.248833
-10.2151,30.8663,-10.9898
9.44111,30.8172,-8.90815
1.42036,53.6562,6.52636
-0.267235,10.7432,0.0842667
-2.52652,10.7949,1.02096
1.55233,10.8452,1.0317
-0.585964,32.8315,7.80738
-15.4828,6.33957,33.778
15.1754,3.9021,32.9618
-20.23,33.9113,28.5877
19.9062,31.5556,29.7995
-0.997037,-28.468,19.2316
-0.17733,38.3259,11.2126
-32.2928,4.58904,-10.2601
31.854,5.87,-8.20693
-17.4208,11.6189,-2.66658
20.069,14.3206,-0.00628662
-19.7813,4.00935,-12.0862
20.3011,5.89826,-10.6537
-13.8992,41.9112,8.68377
18.8639,44.3333,7.45236
-14.6195,79.097,0.137583
28.4666,75.0816,-0.500689
-12.2181,-16.1153,6.76808
9.94118,-12.6135,5.80686
