x,y,z
-0.688681,1.60893,12.0065
-0.528271,28.6728,8.23072
-0.274336,39.0516,-0.678974
0.217948,26.5228,-8.79031
-0.413637,15.8378,4.41064
-11.4594,29.2676,0.550804
11.5648,29.2096,1.19558
-10.143,31.0281,-9.69457
9.51782,31.054,-7.45579
1.2661,53.7273,8.10033
-0.158902,10.8849,1.26996
-2.42706,10.9195,2.18778
1.65534,10.9883,2.23211
-0.644288,32.8995,9.17867
-15.5985,6.17025,34.7657
15.1069,3.88098,34.1778
-20.4557,33.7376,29.7872
19.7224,31.5587,31.3029
-0.820471,-28.4397,20.0429
-0.28687,38.367,12.6325
-32.1121,4.66369,-9.3785
32.075,6.22272,-6.79483
-17.3143,11.7014,-1.60962
20.179,14.5535,1.37656
-19.5732,4.15501,-11.1062
20.5279,6.21579,-9.33267
-14.0227,41.9052,10.0266
18.7677,44.4845,9.08428
-14.8753,79.1224,1.81394
28.2767,75.312,1.4908
-12.0297,-16.0571,7.61102
10.1394,-12.4493,6.862
