x,y,z
-0.843894,1.54692,10.4013
-0.51566,28.5822,6.26864
-0.284336,38.8704,-2.78924
0.0149464,26.2476,-10.7541
-0.546071,15.7006,2.60875
-11.5176,29.1633,-1.2949
11.4846,28.9713,-0.92938
-10.3082,30.8087,-11.5914
9.35411,30.7381,-9.59005
1.47112,53.6358,5.79181
-0.366942,10.7109,-0.474676
-2.62131,10.7689,0.471455
1.45701,10.8133,0.465158
-0.587416,32.8216,7.16442
-15.4347,6.44092,33.3106
15.2073,3.95685,32.3772
-20.1278,33.998,28.0285
20.0003,31.5886,29.0842
-1.11739,-28.4299,18.838
-0.147493,38.3257,10.5472
-32.4524,4.56994,-10.6657
31.6961,5.76475,-8.88187
-17.5278,11.6022,-3.15908
19.9754,14.258,-0.663473
-19.9534,3.96624,-12.5418
20.134,5.80165,-11.2819
-13.8687,41.922,8.05994
18.8897,44.2922,6.68319
-14.5242,79.0747,-0.634089
28.5399,74.9956,-1.43451
-12.36,-16.1041,6.36759
9.80074,-12.638,5.30061
