x,y,z
-0.722708,1.56578,11.4342
-0.519742,28.6129,7.55002
-0.271074,38.9482,-1.40219
0.173081,26.3776,-9.46569
-0.441508,15.7579,3.78045
-11.4753,29.191,-0.0948639
11.5577,29.0918,0.470747
-10.1847,30.8987,-10.3522
9.4886,30.8978,-8.18123
1.32429,53.6653,7.31375
-0.205589,10.7887,0.658478
-2.47171,10.8321,1.58402
1.6122,10.8933,1.61399
-0.624695,32.8449,8.48159
-15.5621,6.26813,34.2275
15.1465,3.9166,33.5428
-20.3807,33.8225,29.1559
19.8097,31.5735,30.5418
-0.890579,-28.4455,19.5909
-0.246349,38.329,11.9126
-32.2117,4.57618,-9.85543
32.0055,6.02431,-7.49926
-17.373,11.6241,-2.16529
20.1461,14.4189,0.680328
-19.675,4.03479,-11.6244
20.4475,6.02715,-9.99735
-13.987,41.8812,9.3399
18.8158,44.3928,8.27414
-14.7901,79.0626,0.981768
28.3666,75.1671,0.524927
-12.1148,-16.1014,7.14791
10.066,-12.5398,6.30804
