subjid,roi,side,vol_voxels,vol_mm,centroid_x,centroid_y,centroid_z,mean,sd
sub-C017,cZI,R,157,53.850998,13.853334,29.807837,-10.566086,1411.244966,124.317010
sub-C018,cZI,R,266,91.237999,13.631755,30.796389,-3.154653,1424.093112,129.438439
sub-C019,cZI,R,202,69.285995,13.745418,31.394296,-20.589919,1359.673525,102.997988
sub-C020,cZI,R,238,81.633995,17.285777,26.502654,-10.547726,1333.352065,116.153386
sub-C021,cZI,R,213,73.058998,10.498357,29.508569,-29.755502,1377.329315,104.765158
sub-C022,cZI,R,230,78.889999,12.488171,23.191002,-22.846272,1369.219998,130.364534
sub-C023,cZI,R,184,63.112003,9.346112,28.416149,-22.507644,1424.342412,120.487944
sub-C024,cZI,R,218,74.773994,12.755648,19.026084,0.997690,1389.339806,100.637159
sub-C025,cZI,R,194,66.542000,9.966816,30.482038,-19.474233,1368.903468,122.660691
sub-C026,cZI,R,206,70.657997,15.761621,29.164583,-2.473317,1435.506331,126.654618
sub-C027,cZI,R,194,66.542000,14.628114,31.182491,-10.130795,1385.603146,123.234228
sub-C028,cZI,R,227,77.851326,14.751850,36.048931,-6.930181,1433.370044,120.749410
sub-C029,cZI,R,174,59.681995,14.041239,28.272155,-12.578841,1403.355741,113.752096
sub-C030,cZI,R,184,63.105537,10.671821,34.673077,-8.444922,1422.130435,131.454139
sub-C031,cZI,R,183,62.768993,14.888939,21.708817,-14.536418,1529.727317,142.566559
sub-C032,cZI,R,144,49.391998,8.649699,21.192967,-5.608884,1095.386671,62.620133
sub-C001,fct,L,277,94.999191,-6.963126,31.891317,12.055207,1322.595668,94.897517
sub-C002,fct,L,416,142.664032,-8.839073,28.029375,9.088061,1382.723558,95.602506
sub-C003,fct,L,402,137.873367,-7.578800,36.087394,-10.701427,1277.144279,80.842349
sub-C004,fct,L,318,109.058067,-6.590445,32.412248,25.619047,1378.779874,100.846709
sub-C005,fct,L,290,99.453300,-9.075074,29.064175,-4.355468,1319.382759,81.559084
sub-C006,fct,L,274,93.972366,-12.517232,38.998172,-3.109578,1372.113139,84.885519
sub-C007,fct,L,341,116.949738,-7.243277,38.570962,0.413220,1269.237537,113.658981
sub-C008,fct,L,262,89.848953,-10.895023,40.951927,-11.132453,1334.595420,81.720604
sub-C009,fct,L,305,104.600861,-10.367248,33.489206,0.166749,1320.714754,95.374680
sub-C010,fct,L,293,100.495270,-6.776245,27.928391,-3.232451,1303.440273,101.758783
sub-C011,fct,L,347,119.011398,-9.920498,27.445972,1.999038,1286.484150,95.265838
sub-C012,fct,L,301,103.224541,-9.140826,34.390889,-11.933657,1319.710963,94.906126
