x,y,z
-0.707557,1.62575,11.7086
-0.449616,28.7076,7.87848
-0.169773,39.0974,-1.05765
0.261596,26.5644,-9.15203
-0.389964,15.867,4.07981
-11.3698,29.3577,0.21911
11.6128,29.1943,0.807642
-10.0644,31.1202,-10.0399
9.56365,31.055,-7.84812
1.43704,53.769,7.69609
-0.159322,10.9121,0.94573
-2.4218,10.9564,1.86971
1.65341,11.0066,1.90386
-0.547845,32.9368,8.81936
-15.5385,6.2425,34.5115
15.1007,3.81225,33.8518
-20.2888,33.8518,29.4894
19.8092,31.4874,30.9112
-0.94198,-28.4457,19.8077
-0.165026,38.4035,12.2643
-32.0934,4.83996,-9.61946
31.9853,6.10556,-7.19529
-17.2843,11.8092,-1.89507
20.1553,14.4901,0.995274
-19.5821,4.27497,-11.3783
20.4557,6.15297,-9.70638
-13.866,42.0082,9.68384
18.8725,44.4402,8.65506
-14.5869,79.2571,1.39706
28.4706,75.2479,0.974474
-12.1018,-15.9962,7.37149
10.0392,-12.4868,6.56043
