x,y,z
-0.855452,1.43855,10.6456
-0.475025,28.4653,6.59722
-0.193404,38.7261,-2.42199
0.12213,26.074,-10.4162
-0.507359,15.5694,2.90227
-11.4593,29.0754,-1.00456
11.5699,28.7742,-0.543447
-10.2045,30.683,-11.2827
9.47401,30.5243,-9.20077
1.54864,53.5134,6.20287
-0.321994,10.568,-0.192572
-2.58292,10.6399,0.743504
1.50056,10.6647,0.754442
-0.545001,32.7088,7.50444
-15.5508,6.47588,33.4893
15.1299,3.84117,32.6778
-20.1926,34.045,28.2729
19.9779,31.4457,29.489
-1.20231,-28.5171,18.986
-0.111088,38.2226,10.9025
-32.4141,4.54766,-10.5279
31.8086,5.44032,-8.473
-17.4922,11.5335,-2.94412
20.051,14.0176,-0.285469
-19.8927,3.8779,-12.3518
20.2418,5.52518,-10.9194
-13.8346,41.8778,8.37033
18.9732,44.0869,7.13905
-14.4076,79.0146,-0.209951
28.7081,74.7252,-0.84115
-12.3925,-16.1738,6.51486
9.80468,-12.8167,5.55189
